Stage 3 Iter  7900 Time:2.2e+03 # Loss:6.99e-07, Loss_r:1.16e-07, Loss_b:3.14e-07, Loss_0:2.69e-07 # Valid:6.80e-07, RL2:1.01e+00
Stage 3 Iter  8000 Time:2.2e+03 # Loss:7.22e-07, Loss_r:1.15e-07, Loss_b:3.20e-07, Loss_0:2.87e-07 # Valid:1.04e-06, RL2:1.01e+00
Stage 3 Iter  8100 Time:2.3e+03 # Loss:6.41e-07, Loss_r:1.12e-07, Loss_b:2.79e-07, Loss_0:2.50e-07 # Valid:7.05e-07, RL2:1.00e+00
Stage 3 Iter  8200 Time:2.3e+03 # Loss:6.05e-07, Loss_r:9.90e-08, Loss_b:2.68e-07, Loss_0:2.38e-07 # Valid:6.76e-07, RL2:1.01e+00
Stage 3 Iter  8300 Time:2.3e+03 # Loss:6.36e-07, Loss_r:1.08e-07, Loss_b:2.67e-07, Loss_0:2.62e-07 # Valid:6.65e-07, RL2:1.01e+00
Stage 3 Iter  8400 Time:2.3e+03 # Loss:1.07e-07, Loss_r:1.07e-07, Loss_b:2.67e-07, Loss_0:2.62e-07 # Valid:6.39e-07, RL2:1.01e+00
Stage 3 Iter  8500 Time:2.4e+03 # Loss:5.45e-07, Loss_r:8.99e-08, Loss_b:2.48e-07, Loss_0:2.07e-07 # Valid:6.05e-07, RL2:1.01e+00
Stage 3 Iter  8600 Time:2.4e+03 # Loss:5.39e-07, Loss_r:9.03e-08, Loss_b:2.34e-07, Loss_0:2.14e-07 # Valid:5.60e-07, RL2:1.00e+00
Stage 3 Iter  8700 Time:2.4e+03 # Loss:2.68e-05, Loss_r:2.06e-07, Loss_b:1.35e-05, Loss_0:1.31e-05 # Valid:2.72e-05, RL2:1.01e+00
Stage 3 Iter  8800 Time:2.5e+03 # Loss:5.06e-07, Loss_r:8.56e-08, Loss_b:2.31e-07, Loss_0:1.90e-07 # Valid:5.25e-07, RL2:1.02e+00
Stage 3 Iter  8900 Time:2.5e+03 # Loss:2.35e-06, Loss_r:8.28e-08, Loss_b:1.08e-06, Loss_0:1.19e-06 # Valid:8.91e-06, RL2:1.00e+00
Stage 3 Iter  9000 Time:2.5e+03 # Loss:7.76e-08, Loss_r:7.76e-08, Loss_b:1.08e-06, Loss_0:1.19e-06 # Valid:9.08e-06, RL2:1.01e+00
Stage 3 Iter  9100 Time:2.5e+03 # Loss:4.67e-07, Loss_r:7.84e-08, Loss_b:2.03e-07, Loss_0:1.86e-07 # Valid:4.67e-07, RL2:1.01e+00
Stage 3 Iter  9200 Time:2.6e+03 # Loss:4.43e-07, Loss_r:7.29e-08, Loss_b:1.92e-07, Loss_0:1.78e-07 # Valid:4.67e-07, RL2:1.01e+00
Stage 3 Iter  9300 Time:2.6e+03 # Loss:4.71e-07, Loss_r:7.19e-08, Loss_b:2.20e-07, Loss_0:1.79e-07 # Valid:6.46e-07, RL2:1.01e+00
Stage 3 Iter  9400 Time:2.6e+03 # Loss:3.83e-07, Loss_r:6.82e-08, Loss_b:1.69e-07, Loss_0:1.45e-07 # Valid:4.02e-07, RL2:1.00e+00
Stage 3 Iter  9500 Time:2.7e+03 # Loss:3.29e-06, Loss_r:6.68e-08, Loss_b:1.75e-06, Loss_0:1.47e-06 # Valid:1.47e-06, RL2:1.00e+00
Stage 3 Iter  9600 Time:2.7e+03 # Loss:7.20e-08, Loss_r:7.20e-08, Loss_b:1.75e-06, Loss_0:1.47e-06 # Valid:1.54e-06, RL2:1.00e+00
Stage 3 Iter  9700 Time:2.7e+03 # Loss:3.62e-07, Loss_r:6.08e-08, Loss_b:1.66e-07, Loss_0:1.35e-07 # Valid:3.82e-07, RL2:1.00e+00
Stage 3 Iter  9800 Time:2.7e+03 # Loss:3.32e-07, Loss_r:5.78e-08, Loss_b:1.50e-07, Loss_0:1.24e-07 # Valid:3.72e-07, RL2:1.01e+00
Stage 3 Iter  9900 Time:2.8e+03 # Loss:4.99e-07, Loss_r:5.64e-08, Loss_b:2.11e-07, Loss_0:2.31e-07 # Valid:4.53e-07, RL2:1.01e+00
Stage 3 Iter 10000 Time:2.8e+03 # Loss:1.86e-06, Loss_r:5.16e-08, Loss_b:9.49e-07, Loss_0:8.56e-07 # Valid:1.83e-06, RL2:1.02e+00
Stage 3 Iter 10100 Time:2.8e+03 # Loss:3.18e-07, Loss_r:5.64e-08, Loss_b:1.44e-07, Loss_0:1.17e-07 # Valid:3.92e-07, RL2:1.01e+00
Stage 3 Iter 10200 Time:2.9e+03 # Loss:5.21e-08, Loss_r:5.21e-08, Loss_b:1.44e-07, Loss_0:1.17e-07 # Valid:3.35e-07, RL2:1.01e+00
Stage 3 Iter 10300 Time:2.9e+03 # Loss:3.03e-07, Loss_r:5.14e-08, Loss_b:1.38e-07, Loss_0:1.14e-07 # Valid:3.25e-07, RL2:1.01e+00
Stage 3 Iter 10400 Time:2.9e+03 # Loss:1.09e-06, Loss_r:5.06e-08, Loss_b:5.64e-07, Loss_0:4.72e-07 # Valid:1.25e-06, RL2:1.00e+00
Stage 3 Iter 10500 Time:2.9e+03 # Loss:2.62e-07, Loss_r:4.71e-08, Loss_b:1.16e-07, Loss_0:9.87e-08 # Valid:3.02e-07, RL2:1.01e+00
Stage 3 Iter 10600 Time:3.0e+03 # Loss:2.86e-07, Loss_r:5.04e-08, Loss_b:1.22e-07, Loss_0:1.13e-07 # Valid:3.01e-07, RL2:1.01e+00
Stage 3 Iter 10700 Time:3.0e+03 # Loss:2.56e-07, Loss_r:4.56e-08, Loss_b:1.18e-07, Loss_0:9.32e-08 # Valid:2.64e-07, RL2:1.01e+00
Stage 3 Iter 10800 Time:3.0e+03 # Loss:4.42e-08, Loss_r:4.42e-08, Loss_b:1.18e-07, Loss_0:9.32e-08 # Valid:2.73e-07, RL2:1.00e+00
Stage 3 Iter 10900 Time:3.1e+03 # Loss:2.63e-07, Loss_r:4.72e-08, Loss_b:1.23e-07, Loss_0:9.30e-08 # Valid:2.78e-07, RL2:1.01e+00
Stage 3 Iter 11000 Time:3.1e+03 # Loss:4.69e-07, Loss_r:4.03e-08, Loss_b:2.34e-07, Loss_0:1.94e-07 # Valid:3.60e-07, RL2:1.01e+00
Stage 3 Iter 11100 Time:3.2e+03 # Loss:2.32e-07, Loss_r:3.80e-08, Loss_b:1.06e-07, Loss_0:8.88e-08 # Valid:2.38e-07, RL2:1.01e+00
Stage 3 Iter 11200 Time:3.2e+03 # Loss:1.56e-06, Loss_r:4.15e-08, Loss_b:7.48e-07, Loss_0:7.70e-07 # Valid:1.94e-06, RL2:1.01e+00
Stage 3 Iter 11300 Time:3.2e+03 # Loss:2.13e-07, Loss_r:3.64e-08, Loss_b:9.69e-08, Loss_0:7.95e-08 # Valid:2.17e-07, RL2:1.00e+00
Stage 3 Iter 11400 Time:3.3e+03 # Loss:3.88e-08, Loss_r:3.88e-08, Loss_b:9.69e-08, Loss_0:7.95e-08 # Valid:2.26e-07, RL2:1.01e+00
Stage 3 Iter 11500 Time:3.3e+03 # Loss:3.50e-06, Loss_r:3.99e-08, Loss_b:1.74e-06, Loss_0:1.72e-06 # Valid:1.09e-06, RL2:1.02e+00
Stage 3 Iter 11600 Time:3.4e+03 # Loss:1.95e-07, Loss_r:3.48e-08, Loss_b:8.63e-08, Loss_0:7.35e-08 # Valid:2.00e-07, RL2:1.01e+00
Stage 3 Iter 11700 Time:3.4e+03 # Loss:1.90e-07, Loss_r:3.18e-08, Loss_b:8.45e-08, Loss_0:7.35e-08 # Valid:2.14e-07, RL2:1.00e+00
Stage 3 Iter 11800 Time:3.4e+03 # Loss:1.85e-07, Loss_r:3.19e-08, Loss_b:8.49e-08, Loss_0:6.85e-08 # Valid:2.17e-07, RL2:1.02e+00
Stage 3 Iter 11900 Time:3.4e+03 # Loss:2.05e-07, Loss_r:3.09e-08, Loss_b:9.45e-08, Loss_0:7.98e-08 # Valid:2.61e-07, RL2:1.00e+00
Stage 3 Iter 12000 Time:3.5e+03 # Loss:3.32e-08, Loss_r:3.32e-08, Loss_b:9.45e-08, Loss_0:7.98e-08 # Valid:2.77e-07, RL2:1.01e+00
Stage 3 Iter 12100 Time:3.5e+03 # Loss:8.06e-06, Loss_r:6.25e-08, Loss_b:4.15e-06, Loss_0:3.84e-06 # Valid:1.11e-05, RL2:1.01e+00
Stage 3 Iter 12200 Time:3.5e+03 # Loss:1.65e-07, Loss_r:2.96e-08, Loss_b:7.37e-08, Loss_0:6.15e-08 # Valid:1.63e-07, RL2:1.01e+00
Stage 3 Iter 12300 Time:3.5e+03 # Loss:8.33e-07, Loss_r:3.07e-08, Loss_b:3.84e-07, Loss_0:4.18e-07 # Valid:9.03e-07, RL2:9.99e-01
Stage 3 Iter 12400 Time:3.6e+03 # Loss:1.45e-07, Loss_r:2.62e-08, Loss_b:6.41e-08, Loss_0:5.50e-08 # Valid:1.51e-07, RL2:1.01e+00
Stage 3 Iter 12500 Time:3.6e+03 # Loss:2.12e-07, Loss_r:2.31e-08, Loss_b:1.05e-07, Loss_0:8.40e-08 # Valid:2.19e-07, RL2:1.00e+00
Stage 3 Iter 12600 Time:3.6e+03 # Loss:2.56e-08, Loss_r:2.56e-08, Loss_b:1.05e-07, Loss_0:8.40e-08 # Valid:2.11e-07, RL2:1.01e+00
Stage 3 Iter 12700 Time:3.7e+03 # Loss:6.87e-06, Loss_r:2.51e-08, Loss_b:3.44e-06, Loss_0:3.41e-06 # Valid:7.48e-06, RL2:1.00e+00
Stage 3 Iter 12800 Time:3.7e+03 # Loss:1.37e-07, Loss_r:2.36e-08, Loss_b:6.31e-08, Loss_0:5.06e-08 # Valid:1.38e-07, RL2:1.01e+00
Stage 3 Iter 12900 Time:3.7e+03 # Loss:1.39e-07, Loss_r:2.35e-08, Loss_b:6.48e-08, Loss_0:5.09e-08 # Valid:1.46e-07, RL2:1.01e+00
Stage 3 Iter 13000 Time:3.7e+03 # Loss:1.64e-07, Loss_r:2.20e-08, Loss_b:7.31e-08, Loss_0:6.86e-08 # Valid:2.05e-07, RL2:1.01e+00
