Stage 3 Iter  8100 Time:1.8e+03 # Loss:1.97e+07, Loss_r:1.97e+07, Loss_b:3.32e+00, Loss_0:3.81e+00 # Valid:1.29e+08, RL2:2.67e+00
Stage 3 Iter  8200 Time:1.8e+03 # Loss:1.01e+07, Loss_r:1.01e+07, Loss_b:3.52e+00, Loss_0:3.42e+00 # Valid:8.89e+07, RL2:2.68e+00
Stage 3 Iter  8300 Time:1.8e+03 # Loss:1.35e+07, Loss_r:1.35e+07, Loss_b:3.45e+00, Loss_0:3.65e+00 # Valid:1.63e+08, RL2:2.86e+00
Stage 3 Iter  8400 Time:1.9e+03 # Loss:1.06e+08, Loss_r:1.06e+08, Loss_b:3.45e+00, Loss_0:3.65e+00 # Valid:2.53e+08, RL2:2.85e+00
Stage 3 Iter  8500 Time:1.9e+03 # Loss:8.70e+06, Loss_r:8.70e+06, Loss_b:3.47e+00, Loss_0:3.59e+00 # Valid:1.36e+08, RL2:2.84e+00
Stage 3 Iter  8600 Time:1.9e+03 # Loss:1.13e+07, Loss_r:1.13e+07, Loss_b:3.54e+00, Loss_0:4.08e+00 # Valid:1.97e+09, RL2:2.80e+00
Stage 3 Iter  8700 Time:1.9e+03 # Loss:9.16e+06, Loss_r:9.16e+06, Loss_b:3.42e+00, Loss_0:3.66e+00 # Valid:3.59e+09, RL2:2.80e+00
Stage 3 Iter  8800 Time:1.9e+03 # Loss:2.08e+07, Loss_r:2.08e+07, Loss_b:3.76e+00, Loss_0:4.04e+00 # Valid:5.69e+07, RL2:2.80e+00
Stage 3 Iter  8900 Time:2.0e+03 # Loss:1.44e+07, Loss_r:1.44e+07, Loss_b:3.67e+00, Loss_0:3.87e+00 # Valid:3.79e+09, RL2:2.93e+00
Stage 3 Iter  9000 Time:2.0e+03 # Loss:6.76e+07, Loss_r:6.76e+07, Loss_b:3.67e+00, Loss_0:3.87e+00 # Valid:3.09e+09, RL2:2.90e+00
Stage 3 Iter  9100 Time:2.0e+03 # Loss:8.84e+06, Loss_r:8.84e+06, Loss_b:3.79e+00, Loss_0:3.67e+00 # Valid:2.18e+08, RL2:2.95e+00
Stage 3 Iter  9200 Time:2.0e+03 # Loss:1.66e+07, Loss_r:1.66e+07, Loss_b:3.70e+00, Loss_0:3.92e+00 # Valid:1.27e+09, RL2:2.82e+00
Stage 3 Iter  9300 Time:2.1e+03 # Loss:1.03e+07, Loss_r:1.03e+07, Loss_b:3.93e+00, Loss_0:3.54e+00 # Valid:2.07e+08, RL2:2.98e+00
Stage 3 Iter  9400 Time:2.1e+03 # Loss:8.11e+06, Loss_r:8.11e+06, Loss_b:4.00e+00, Loss_0:3.97e+00 # Valid:9.91e+07, RL2:2.93e+00
Stage 3 Iter  9500 Time:2.1e+03 # Loss:1.10e+07, Loss_r:1.10e+07, Loss_b:3.86e+00, Loss_0:3.86e+00 # Valid:5.92e+08, RL2:3.00e+00
Stage 3 Iter  9600 Time:2.1e+03 # Loss:2.11e+09, Loss_r:2.11e+09, Loss_b:3.86e+00, Loss_0:3.86e+00 # Valid:2.76e+08, RL2:2.89e+00
Stage 3 Iter  9700 Time:2.1e+03 # Loss:1.32e+07, Loss_r:1.32e+07, Loss_b:3.74e+00, Loss_0:4.22e+00 # Valid:2.36e+08, RL2:2.79e+00
