Iter  9500 Time:3.4e+03 # Loss:1.63e+03, Loss_r:1.32e+03, Loss_b:3.09e+00 # Valid:1.89e+03, RL2:9.55e+00
Iter  9600 Time:3.5e+03 # Loss:1.60e+03, Loss_r:1.28e+03, Loss_b:3.20e+00 # Valid:1.67e+03, RL2:8.63e+00
Iter  9700 Time:3.5e+03 # Loss:1.62e+03, Loss_r:1.29e+03, Loss_b:3.27e+00 # Valid:1.70e+03, RL2:8.60e+00
Iter  9800 Time:3.5e+03 # Loss:1.59e+03, Loss_r:1.27e+03, Loss_b:3.23e+00 # Valid:1.74e+03, RL2:7.98e+00
Iter  9900 Time:3.6e+03 # Loss:1.60e+03, Loss_r:1.30e+03, Loss_b:2.97e+00 # Valid:2.20e+03, RL2:8.97e+00
Iter 10000 Time:3.6e+03 # Loss:1.66e+03, Loss_r:1.35e+03, Loss_b:3.12e+00 # Valid:1.64e+03, RL2:8.86e+00
Iter 10100 Time:3.6e+03 # Loss:1.64e+03, Loss_r:1.33e+03, Loss_b:3.12e+00 # Valid:2.24e+03, RL2:9.23e+00
Iter 10200 Time:3.7e+03 # Loss:1.54e+03, Loss_r:1.22e+03, Loss_b:3.24e+00 # Valid:1.68e+03, RL2:9.88e+00
Iter 10300 Time:3.7e+03 # Loss:1.67e+03, Loss_r:1.36e+03, Loss_b:3.07e+00 # Valid:1.86e+03, RL2:9.47e+00
Iter 10400 Time:3.7e+03 # Loss:1.63e+03, Loss_r:1.32e+03, Loss_b:3.05e+00 # Valid:1.91e+03, RL2:9.20e+00
Iter 10500 Time:3.8e+03 # Loss:1.75e+03, Loss_r:1.45e+03, Loss_b:2.98e+00 # Valid:1.90e+03, RL2:8.22e+00
Iter 10600 Time:3.8e+03 # Loss:1.62e+03, Loss_r:1.32e+03, Loss_b:2.97e+00 # Valid:1.84e+03, RL2:8.45e+00
Iter 10700 Time:3.9e+03 # Loss:1.69e+03, Loss_r:1.39e+03, Loss_b:2.98e+00 # Valid:1.88e+03, RL2:8.87e+00
Iter 10800 Time:3.9e+03 # Loss:1.56e+03, Loss_r:1.26e+03, Loss_b:3.08e+00 # Valid:1.72e+03, RL2:8.64e+00
Iter 10900 Time:3.9e+03 # Loss:1.57e+03, Loss_r:1.25e+03, Loss_b:3.17e+00 # Valid:2.62e+04, RL2:8.43e+00
Iter 11000 Time:4.0e+03 # Loss:1.74e+03, Loss_r:1.42e+03, Loss_b:3.13e+00 # Valid:1.72e+03, RL2:8.19e+00
Iter 11100 Time:4.0e+03 # Loss:1.58e+03, Loss_r:1.27e+03, Loss_b:3.15e+00 # Valid:2.38e+03, RL2:8.42e+00
Iter 11200 Time:4.0e+03 # Loss:1.67e+03, Loss_r:1.36e+03, Loss_b:3.13e+00 # Valid:1.68e+03, RL2:8.73e+00
Iter 11300 Time:4.1e+03 # Loss:1.64e+03, Loss_r:1.33e+03, Loss_b:3.14e+00 # Valid:7.52e+03, RL2:8.98e+00
Iter 11400 Time:4.1e+03 # Loss:1.59e+03, Loss_r:1.29e+03, Loss_b:2.99e+00 # Valid:1.73e+03, RL2:8.72e+00
Iter 11500 Time:4.1e+03 # Loss:1.59e+03, Loss_r:1.28e+03, Loss_b:3.10e+00 # Valid:1.80e+03, RL2:9.41e+00
Iter 11600 Time:4.2e+03 # Loss:1.58e+03, Loss_r:1.26e+03, Loss_b:3.25e+00 # Valid:1.77e+03, RL2:8.62e+00
Iter 11700 Time:4.2e+03 # Loss:1.72e+03, Loss_r:1.44e+03, Loss_b:2.87e+00 # Valid:1.76e+03, RL2:7.55e+00
Iter 11800 Time:4.3e+03 # Loss:1.85e+03, Loss_r:1.53e+03, Loss_b:3.14e+00 # Valid:1.83e+03, RL2:7.32e+00
Iter 11900 Time:4.3e+03 # Loss:1.76e+03, Loss_r:1.46e+03, Loss_b:3.03e+00 # Valid:1.73e+03, RL2:7.40e+00
Iter 12000 Time:4.3e+03 # Loss:1.74e+03, Loss_r:1.43e+03, Loss_b:3.11e+00 # Valid:1.85e+03, RL2:7.87e+00
Iter 12100 Time:4.4e+03 # Loss:1.72e+03, Loss_r:1.42e+03, Loss_b:2.99e+00 # Valid:2.04e+03, RL2:8.13e+00
Iter 12200 Time:4.4e+03 # Loss:1.68e+03, Loss_r:1.37e+03, Loss_b:3.12e+00 # Valid:1.72e+03, RL2:8.48e+00
Iter 12300 Time:4.4e+03 # Loss:1.65e+03, Loss_r:1.34e+03, Loss_b:3.10e+00 # Valid:1.84e+03, RL2:8.25e+00
Iter 12400 Time:4.5e+03 # Loss:1.59e+03, Loss_r:1.29e+03, Loss_b:3.01e+00 # Valid:1.74e+03, RL2:8.37e+00
Iter 12500 Time:4.5e+03 # Loss:1.63e+03, Loss_r:1.32e+03, Loss_b:3.11e+00 # Valid:1.84e+03, RL2:8.66e+00
Iter 12600 Time:4.5e+03 # Loss:1.68e+03, Loss_r:1.37e+03, Loss_b:3.15e+00 # Valid:1.68e+03, RL2:9.05e+00
Iter 12700 Time:4.6e+03 # Loss:1.60e+03, Loss_r:1.28e+03, Loss_b:3.20e+00 # Valid:1.71e+03, RL2:8.76e+00
Iter 12800 Time:4.6e+03 # Loss:1.69e+03, Loss_r:1.35e+03, Loss_b:3.39e+00 # Valid:8.19e+03, RL2:9.29e+00
Iter 12900 Time:4.6e+03 # Loss:1.71e+03, Loss_r:1.38e+03, Loss_b:3.33e+00 # Valid:1.85e+03, RL2:9.22e+00
Iter 13000 Time:4.7e+03 # Loss:1.49e+03, Loss_r:1.20e+03, Loss_b:2.89e+00 # Valid:1.78e+03, RL2:8.63e+00
Iter 13100 Time:4.7e+03 # Loss:1.57e+03, Loss_r:1.26e+03, Loss_b:3.12e+00 # Valid:2.25e+03, RL2:9.44e+00
Iter 13200 Time:4.8e+03 # Loss:1.61e+03, Loss_r:1.29e+03, Loss_b:3.12e+00 # Valid:1.78e+03, RL2:9.24e+00
